;Manchete;Link
0;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
1;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
2;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
3;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
4;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
5;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
6;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
7;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
8;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
9;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
10;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
11;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
12;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
13;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
14;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
15;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
16;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
17;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
18;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
19;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
20;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
21;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
22;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
23;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
24;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
25;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
26;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
27;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
28;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
29;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
