;Titulo;Corpo;Link
0;Gregos fazem greve antes de votação orçamentária austera;22/12/2010 08h40- Atualizado em22/12/2010 08h40 Reuters ATENAS (Reuters) - Sindicatos da Grécia convocaram uma greve geral nesta quarta-feira e a capital Atenas sofre uma paralisação de 24 horas do transporte público em protesto contra o orçamento de 2011 do governo, previsto para ser aprovado com medidas de austeridade fiscal incluídas num pacote de ajuda da União Europeia e do Fundo Monetário Internacional. O orçamento, que deve ajudar o país a combater uma dívida que abalou a zona do euro, inclui novos aumentos de impostos e cortes de salários na administração pública, especialmente no setor de transportes. A Fitch informou na terça-feira que pode rebaixar o rating de crédito da Grécia no mês que vem, igualando-se ao que já fizeram as outras principais agências de rating. 'Apesar de essa notícia ser esperada, isso vai ser ruim com o mercado, há temores sobre futuros downgrades', disse a analista do HSBC em Atenas Ioanna Telioudi. Os principais sindicatos dos setores público e privado da Grécia convocaram uma greve de três horas entre 8h e 11h (de Brasília) em Atenas. Milhares de pessoas devem participar de uma manifestação do lado de fora do Parlamento. Motoristas de ônibus e condutores de metrô já estão em greve parcial há duas semanas, prejudicando o fluxo de pessoas no centro da cidade no período de Natal -- um problema a mais para o comércio, já atingido pela recessão. O governo ameaçou nesta quarta-feira interromper a greve do transportes com a aplicação de leis de emergência que já foram utilizadas este ano para acabar com uma greve de caminhoneiros. 'Todo mundo precisa ter responsabilidade... o Estado tem o poder que precisa para proteger o interesse público', disse o porta-voz do governo, George Petalotis. Com maioria confortável no Congresso, o governo deve conseguir aprovar o orçamento como esperado. Na semana passada, manifestantes contra as medidas de austeridade fiscal entraram em confronto com policiais e colocaram fogos em carros e num hotel no centro de Atenas, durante uma marcha com mais de 50 mil pessoas. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=economia&p=2&r=1737943058224&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fgregos-fazem-greve-antes-de-votacao-orcamentaria-austera-7.html&syn=False&key=133712ea84bbb4144614364d18a34c4d
1;"BC mantém expansão de 7,3% para PIB no ano; prevê alta de 4,5% em 2011";22/12/2010 08h50- Atualizado em22/12/2010 08h50 Valor OnLine BRASÍLIA - A variação real para o Produto Interno Bruto (PIB) em 2010 foi mantida em 7,3% pelo Banco Central (BC). Para 2011, a previsão da autoridade monetária é de crescimento real da economia de 4,5%, segundo o Relatório Trimestral de Inflação para dezembro. De acordo com o documento divulgado há pouco, a manutenção da expectativa de 7,3% do PIB 'reflete o efeito carregamento estatístico decorrente das taxas de crescimento verificadas no segundo semestre de 2009'. O Comitê de Política Monetária (Copom) 'avalia que a economia tem se deslocado para uma trajetória mais condizente com o equilibrio de longo prazo', justifica ainda o relatório, ao apontar a estimativa para 2011. (Azelma Rodrigues | Valor Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=economia&p=3&r=1737943058227&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fbc-mantem-expansao-de-73-para-pib-no-ano-preve-alta-de-45-em-2011.html&syn=False&key=34a3bd9312ff2f86b1144f00c3fdebd3
2;Receita libera lotes da malha fina dos anos de 2006 e 2007;"22/12/2010 09h54- Atualizado em22/12/2010 09h54 Do G1, em São Paulo A Receita Federal deposita nesta quarta-feira (22) nos bancos as restituições de um lote de declarações do Imposto de Renda Pessoa Física 2006 que estava na malha fina. A correção foi de 51,06%. O lote tem 14.621 declarações. As informações são da Agência Brasil. Ficaram devendo 7.022 contribuintes. Com direito à restituição, são 3.784. Não tiveram imposto a pagar nem a restituir 3.815 contribuintes. Na quinta-feira (23), a Receita libera os valores da restituição de um lote de 2007, que também estava na malha fina. Do total de 23.231 contribuintes, 11.705 têm imposto a pagar, 5.233 receberão restituição e 6.293 não têm imposto a pagar nem a restituir. A correção é de 38,07%. Nos dois casos, a consulta poderá ser feita no sitewww.receita.fazenda.gov.brou pelo Receitafone - 146. O contribuinte poderá entrar em contato com qualquer agência do BB ou ligar para a Central de Atendimento pelo telefone 4004-0001 (capitais), 0800-729-0001 (demais localidades) e 0800-729-0088 (deficientes auditivos), para agendar o crédito em conta-corrente ou poupança, em seu nome, em qualquer banco, caso o valor não seja creditado. Sem descontar inflação, preço médio teve menor alta anual em 5 anos.
Todas as 20 cidades registraram variações inferiores à inflação em 2015. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=economia&p=4&r=1737943058228&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fseu-dinheiro%2Fnoticia%2F2010%2F12%2Freceita-libera-lotes-da-malha-fina-dos-anos-de-2006-e-2007.html&syn=False&key=c22c2cdc832b5d2e90779d82c140bb97
3;Confiança da indústria atinge melhor nível do 2o semestre--FGV;28/12/2010 09h40- Atualizado em28/12/2010 09h40 Reuters SÃO PAULO (Reuters) - A confiança da indústria brasileira aumentou 1,6 por cento em dezembro em relação a novembro, para 114,5 pontos com ajuste sazonal, atingindo o maior nível do segundo semestre, conforme pesquisa divulgada nesta terça-feira pela Fundação Getúlio Vargas (FGV). 'A média do ICI (índice de confiança industrial) no último trimestre de 2010 (113,7 pontos) supera a do terceiro trimestre de 2010 (113,3 pontos), mas fica abaixo do primeiro e segundo trimestres deste ano, 115,3 e 115,6, respectivamente', afirma a FGV, em nota. O componente de expectativas subiu 1,9 por cento, para 112,8 pontos, mesmo nível atingido em outubro. O componente de situação atual, por sua vez, avançou 1,3 por cento, alcançando 116,2 pontos, o maior nível desde julho. 'O resultado positivo deste quesito foi influenciado pelo movimento de redução da parcela das empresas que avaliaram a situação dos negócios como fraca, que passou de 13,0 por cento em novembro para 4,7 por cento em dezembro', acrescenta a FGV. A pesquisa mostrou ainda que o nível de utilização da capacidade instalada (Nuci) da indústria aumentou para 84,9 por cento em dezembro. (Por Nathália Ferreira) Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=economia&p=5&r=1737943058229&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fconfianca-da-industria-atinge-melhor-nivel-do-2o-semestre-fgv-1.html&syn=False&key=927ffb6c3be0eee8b748facc705c3c2d
4;Produção industrial avança 1% em novembro no Japão;28/12/2010 09h58- Atualizado em28/12/2010 09h58 Agencia Estado A produção industrial do Japão cresceu 1% em novembro, em comparação com o mês anterior, depois de um ajuste por fatores sazonais, informou hoje o governo japonês. A leitura representa a primeira alta da produção em seis meses. O resultado, que está ligado principalmente ao crescimento da produção de automóveis, ficou em linha com as estimativas dos analistas. O Ministério de Economia, Comércio e Indústria do Japão informou ainda que a produção industrial deverá subir 3,4% em dezembro e 3,7% em janeiro. As projeções estão baseadas em uma pesquisa feita com as empresas. Varejo Em outra divulgação do dia, o ministério informou que as vendas no varejo do Japão subiram 1,3% em novembro, em comparação com o mesmo mês do ano passado. Em outubro, as vendas no varejo registraram queda de 0,2% na mesma base de comparação. As vendas das varejistas de larga escala aumentaram 0,2% em novembro, em relação a igual mês de 2009, após um ajuste por mudanças no número de lojas. As informações são da Dow Jones. Preços ao consumidor O núcleo do Índice de Preços ao Consumidor (CPI, na sigla em inglês) do Japão recuou 0,5% em novembro, em comparação com o mesmo período do ano passado, informou o Ministério de Assuntos Internos e Comunicações. A média das previsões dos economistas era de uma queda de 0,6%. O resultado marca o 21º mês seguido de recuo, uma vez que a demanda doméstica continua a deprimir os preços. Em outubro, o núcleo do CPI recuou 0,6%. A leitura também sugere que o persistente fortalecimento do iene e a lenta atividade econômica estão interferindo na recuperação dos preços. O CPI cheio subiu 0,1% em novembro, em relação a igual período de 2009, e recuou 0,3% na comparação com outubro. O núcleo do CPI da área metropolitana de Tóquio - o principal indicador da tendência dos preços no país - recuou 0,4% em dezembro, de acordo com os dados do governo, em linha com as projeções dos economistas. Em novembro, o núcleo do CPI caiu 0,5%. O CPI cheio da área metropolitana de Tóquio teve queda de 0,2% em dezembro, em relação ao mesmo período de 2009, e recuou 0,5% na comparação com novembro. As informações são da Dow Jones. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=economia&p=6&r=1737943058231&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fproducao-industrial-avanca-1-em-novembro-no-japao.html&syn=False&key=ec2933f5c1ab578d35a842a70dcf39ab
5;Renda nominal da poupança terá pior ano desde 1967, diz Economatica;"28/12/2010 10h34- Atualizado em28/12/2010 10h34 Do G1, em São Paulo A caderneta de poupança vai fechar o ano com a pior rentabilidade nominal (sem descontar a inflação) desde 1967, segundo levantamento da consultoria Economatica. A taxa paga ao poupador este ano ficará em 6,90%, abaixo dos 7,05% verificados em 2009. Descontada a inflação calculada pelo Índice de Preços ao Consumidor Amplo (IPCA), até o mês de novembro (a inflação de dezembro ainda não está disponível), a rentabilidade da poupança no ano é de 1,75%, o menor ganho ajustado pelo IPCA no ano de 2002, quando o poupador perdeu 2,90% do seu poder aquisitivo. Nos últimos oito anos, a rentabilidade nominal acumulada foi de 89,4%. Já o ganho real, descontada a inflação até novembro desde ano, ficou em 21,6%, ainda de acordo com os cálculos da Economatica. Sem descontar inflação, preço médio teve menor alta anual em 5 anos.
Todas as 20 cidades registraram variações inferiores à inflação em 2015. ";https://g1.globo.com/busca/click?q=economia&p=7&r=1737943058232&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fseu-dinheiro%2Fnoticia%2F2010%2F12%2Frenda-nominal-da-poupanca-tera-pior-ano-desde-1967-diz-economatica.html&syn=False&key=bc7176c4ae14da3788c51df5826df9ce
6;Wall Street fecha em equilíbrio: Dow Jones -0,16%, Nasdaq +0,06%;"27/12/2010 20h02- Atualizado em27/12/2010 20h02 France Presse NOVA YORK, 27 dez 2010 (AFP) -A Bolsa de Nova York fechou em equilíbrio nesta quinta-feira, superando as perdas causadas pelas taxas de juros na China no início do dia: o Dow Jones perdeu 0,16%, mas o Nasdaq ganhou 0,06%. O Dow Jones Industrial Average cedeu 18,56 pontos, a 11.555,03 unidades, enquanto o Nasdaq, de forte componente tecnológico, aumentou 1,67 pontos, a 2.667,27. O índice ampliado Standard & Poor's 500 subiu, por sua vez, 0,77 pontos, indo para 1.257,54 unidades. Wall Street, que não operou na sexta-feira por ser a véspera de Natal, fechou na quinta-feira com seu índice de referência em seu ponto mais alto desde agosto de 2008. ""O fato de os chineses aumentarem suas taxas de juros é um sinal da saúde de sua economia"", disse Gregori Volokhine, da Meeschaert Capital Markets. ""Eles temem um crescimento muito forte, e por isso a primeira reação do mercado nunca é boa. Mas a reação seguinte é que gostaríamos de ter a mesma coisa nos Estados Unidos"", acrescentou. No sábado, o banco central da China elevou suas taxas de juros pela segunda vez em três meses. Pequim tenta lutar contra a inflação e a especulação imobiliária. O volume de negociação continua sendo muito baixo, não apenas pelos dias de festa, mas pelas fortes nevascas que atingiram no domingo e nesta segunda-feira os Estados Unidos. O rendimento do bônus do Tesouro a 10 anos retrocedeu para 3,351%, contra 3,393% de quinta-feira à noite, e do bônus a 30 anos para 4,422%, contra 4,475%. gmo/hh/ma Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=economia&p=8&r=1737943058233&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fwall-street-fecha-em-equilibrio-dow-jones-016-nasdaq-006.html&syn=False&key=683e3cc464366a2512addf2bef021b00
7;Bolsas dos EUA fecham estáveis após alta do juro chinês;"27/12/2010 19h16- Atualizado em27/12/2010 20h48 Da Reuters Os principais índices de Wall Street reduziram as perdas do início do dia e fecharam perto da estabilidade nesta segunda-feira (27) com os investidores deixando em segundo plano a alta do juro pelo banco central chinês. De acordo com números preliminares, o Dow Jones fechou em queda de 0,16%, para 11.555 pontos. O Standard & Poor's 500 teve ligeira alta de 0,06%, para 1.257 pontos e o Nasdaq ganhou modestos 0,06%, para 2.667 pontos. Preocupações com a Coreia do Norte também influenciaram o mercado.
Dow Jones caiu 1,47%, S&P 500 perdeu 1,31%, Nasdaq recuou 1,14%. Ibovespa recuou 1,52%, aos 41.773 pontos.
Vale e Petrobras tiveram forte queda com baixos preços de commodities. A moeda subiu 0,7% em relação ao real, vendida a R$ 4,0214.
Nas três primeiras sessões de 2016, a moeda acumulou alta de 1,86%. ";https://g1.globo.com/busca/click?q=economia&p=9&r=1737943058234&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fmercados%2Fnoticia%2F2010%2F12%2Fbolsas-dos-eua-fecham-estaveis-apos-alta-do-juro-chines.html&syn=False&key=42a5b9c7e6fa597baf783e259d394740
8;BB e Vivo firmam parceria para converter tarifas em créditos;27/12/2010 20h50- Atualizado em27/12/2010 20h50 Valor OnLine SÃO PAULO - O Banco do Brasil firmou acordo com a Vivo que permite aos correntistas do banco e assinantes da operadora converter as tarifas de serviços bancários em créditos para ligações no celular pré-pago. O correntista que aderir ao Pacote Bônus Celular vai receber créditos mensais R$ 15,00 ou R$ 25,00, de acordo com a modalidade escolhida, para utilizar em ligações locais de Vivo para Vivo. O valor será creditado no celular indicado pelo cliente. 'A parceria entre o maior banco do Brasil e a maior operadora de telecomunicações móveis do país visa utilizar o poder de alcance da telefonia celular para estimular o acesso da população de menor renda a serviços bancários e financeiros, contribuindo para a inclusão cada vez  maior desse segmento na economia formal', diz o BB em nota. (Valor) Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=economia&p=10&r=1737943058235&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fbb-e-vivo-firmam-parceria-para-converter-tarifas-em-creditos.html&syn=False&key=9d074c32eb2b295543c957b6f8759992
9;Mantega: alta do juro na China causará desaceleração;"28/12/2010 11h50- Atualizado em28/12/2010 11h50 Agencia Estado O ministro da Fazenda, Guido Mantega, afirmou hoje que o aumento dos juros chineses deve resultar em uma desaceleração da economia mundial em 2011, devido ao peso da China na recuperação do mercado global. Segundo o ministro, no entanto, essa desaceleração já era esperada devido ""ao refluxo das medidas de estímulo tomadas durante a crise e que agora estão sendo retiradas"". Os comentários foram feitos na portaria do Ministério da Fazenda, em Brasília. Para ele, por conta disso, o crescimento brasileiro também será afetado. ""Quando a China coloca o pé no freio, afeta os outros países, uma vez que os emergentes agora têm peso maior"", disse. De acordo com o ministro, o aumento dos juros determinado pelo governo chinês tem o objetivo de conter a inflação no gigante asiático. Um dos motivos das pressões inflacionárias foi a política anticíclica, adotada pelo governo da China durante a crise, de concessão de crédito, que injetou US$ 1,2 trilhão no mercado. ""Talvez tenha sido um pouco exagerado e acabou resultando numa bolha imobiliária"", disse Mantega. Além disso, conforme o ministro, a China seria muito sensível ao aumento dos preços das commodities alimentícias. ""Quanto menor é a renda da população, maior é o peso do custo dos alimentos na inflação"", concluiu. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=economia&p=11&r=1737943058236&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2010%2F12%2Fmantega-alta-do-juro-na-china-causara-desaceleracao.html&syn=False&key=553dd84387be966180a301c0e305362d
