Manchete,Link,Texto
"Para Conab, ter três safras de grãos 'minimiza déficit de armazenagem'",https://economia.uol.com.br/noticias/redacao/2025/01/17/vantagem-de-ter-tres-safras-de-graos-minimiza-deficit-de-armazenagem-diz-conab.htm,"O Brasil não tem onde estocar o volume de grãos que produz. De 2010 a 2023, segundo dados da Conab (Companhia Nacional de Abastecimento), o crescimento da safra de grãos foi de 134%, enquanto a capacidade de armazenagem cresceu 53%. Tamanha eficiência na lavoura torna-se um problema logístico, implicando em perdas de produtividade e rentabilidade. Segundo o órgão, o país consegue armazenar 210 milhões de toneladas de grãos. Na safra 2024/25, a colheita estimada é de 322,3 milhões de toneladas. Mesmo a conta não fechando, o órgão alega que ""não se pode afirmar que o país possui um déficit de armazenagem de 112,3 milhões de toneladas"". A existência de três safras de grãos, para a Conab, é uma ""vantagem comparativa que minimiza o déficit de armazenagem"", pois possibilita ""maior movimentação dos produtos dentro do armazém, durante todo o ano, o que reduz a necessidade de novas estruturas armazenadoras"". De olho no campo, a Câmara Setorial de Equipamentos para Armazenagem de Grãos da Abimaq (Associação Brasileira da Indústria de Máquinas e Equipamentos) fala em ""colapso logístico no pós-colheita"". Segundo a própria Conab, um dos principais objetivos da armazenagem é ""facilitar a negociação de melhores preços, tanto no território nacional como no mercado de exportação, proporcionando maior estabilidade de preços e de mercados"". No entanto, o órgão se contradiz quando admite que em algumas regiões - como Maranhão, Tocantins, Piauí, Bahia, Sergipe e Alagoas-, ""verifica-se um déficit maior de estruturas armazenadoras, o que, muitas vezes, obriga os produtores a destinarem imediatamente a sua produção para o exterior"". Ao todo, 98% da safra está em armazéns privados e somente 2% estão em infraestruturas públicas. Vale esclarecer que não há problema em haver armazéns privados, mas só uma parcela de produtores e cooperativas consegue arcar com os custos milionários para construir essas infraestruturas. ""Armazenagem é importante, porque dá a segurança de o produtor comercializar o produto no momento mais favorável, e não porque o produto está perecendo"", observa André Farias, analista da Embrapa Territorial. A unidade da Embrapa publicou, em dezembro, um sistema de inteligência com dados do setor agropecuário, incluindo informações do Sistema Nacional de Cadastro de Unidades Armazenadoras da Conab. O objetivo é dar condições de fazer política pública fundamentada em dados científicos e técnicos. ""A ideia é que isso seja utilizado de maneira massiva pelo setor, trazendo ganhos técnicos nas escolhas que são tomadas por gestores públicos e iniciativa privada"", afirma. Ainda segundo a Conab, uma possibilidade de arrefecer o problema da armazenagem é o programa de financiamento para Construção e Ampliação de Armazéns (PCA), voltado a produtores e cooperativas rurais. Ainda assim, tomar crédito com juros que variam de 7% a 8,5% ao ano, com prazo de reembolso de até 10 anos, nem sempre é viável ao produtor rural de pequeno e médio porte. Dentro dessa realidade dos grãos, está a dupla arroz e feijão. Dos 210 milhões de toneladas que podem ser estocados, há espaço para guardar somente 22 milhões de toneladas de produtos que requerem armazéns convencionais, como é o caso de arroz, feijão e café. O restante da capacidade de armazenagem (88%) é para soja, milho, trigo, e outras commodities majoritariamente exportadas. Sobre isso, a Conab alega que, desde 2023, ""vem recebendo investimento recorde"". A média de investimentos anuais entre 2014 e 2022 era de R$ 2,5 milhões. Em 2023 e 2024, houve aportes de R$ 12 e R$ 13 milhões. A expectativa de investimentos para 2025 é superior a R$ 60 milhões. Mas, se a própria Conab, fala em redução de necessidade de novas estruturas armazenadoras... para que seriam estas quantias? Depois de explicações controversas em nota, o órgão conclui: ""A capacidade armazenadora brasileira é um desafio frente à forte expansão da produção, mas que vem sendo enfrentado ao longo dos anos com investimentos públicos e, principalmente, privados"". O Ministério da Agricultura e Pecuária possui 39 câmaras setoriais e temáticas, sendo a mais nova criada em 2024: Câmara Temática de Agrocarbono Sustentável. O objetivo é estabelecer um debate sobre políticas públicas que promovam a produção sustentável atrelada à conservação ambiental. Na prática, isso requer diálogo com 75 entidades que formam a câmara, entre setor público e privado, e levar essas demandas ao ministro Carlos Fávaro. Daí, estabelecer pontes com outros órgãos, como o Ministério do Meio Ambiente e o Ministério da Fazenda - que cuida, por exemplo, do orçamento para o Plano Safra. A tarefa, nada fácil, está embasada em cinco pilares: conformidade ambiental, taxonomia, rastreabilidade, finanças sustentáveis e a participação nos mercados de carbono. Ao UOL, o presidente da câmara temática, Eduardo Bastos, explica brevemente os objetivos perseguidos, sobretudo com a contagem regressiva à COP30, em novembro. UOL - Qual o motivo da criação dessa câmara temática de agrocarbono dentro do Ministério da Agricultura (Mapa) e quais são as prioridades? Eduardo Bastos - Aproximadamente 25% da emissão de CO2 no Brasil é do agro, é a segunda maior emissão. Não tem como avançar numa agenda de descarbonização sem ter o agro na mesa. Historicamente, são agendas vistas como não convergentes, então, a ideia da câmara é trazer essa convergência, trazer todo mundo para o diálogo. Um dos pontos prioritários é a câmara do carbono ser um instrumento legal de apoio à política pública, ser um instrumento de assessoramento. UOL - Essa agenda climática é liderada pelo Ministério do Meio Ambiente (MMA). Por que essa câmara foi criada no Mapa e não no MMA? Eduardo Bastos - A ideia foi justamente de colocar o agro na linha de frente dessa discussão, colocar dentro do Ministério da Agricultura para puxar os setores do agro. As câmaras só podem ser compostas por entidades da sociedade civil, então pode ser uma associação de produtores, associação da indústria, também temos ONGs, é bem plural. A maioria destes membros tem interlocução com o Ministério da Agricultura. Não estamos ali para discutir descarbonização do setor químico, elétrico, de transportes. É uma discussão de como o agro pode contribuir, e ele pode contribuir com quase tudo. Mas, sim, a gente tem interlocução fora, inclusive tem, pelo menos, seis ministérios da Esplanada que participam da câmara ativamente. UOL - Onde a câmara temática quer chegar? Qual é o objetivo com tantas interlocuções? Eduardo Bastos - Um dos pontos prioritários é qualificar o debate. Porque, infelizmente, a agenda ambiental passou a ser vista como uma agenda de esquerda, e a agenda do agro é vista como uma agenda de direita. No final do dia, o produtor quer plantar, quer colher, quer entender se tem oportunidade de ganhar dinheiro com o mercado de carbono e o governo não tem uma compreensão plena do uso do termo. Em um momento de PL do Carbono, revisão do Plano Clima e inventário nacional de efeito estufa, a gente viu claramente que o agro precisa entrar para qualificar o debate e mapear oportunidades. Como contabilizar o quanto captura [de carbono], além de falar da emissão. A regulação do mundo é focada em energia, e a gente precisa explicar para o agro que a agenda ambiental é de oportunidade, mas os riscos climáticos existem. A gente viu com muita clareza que as pessoas não entendiam, inclusive, os cálculos de emissão de gases de efeito estufa. Por isso, criamos a câmara, para qualificar o debate e nortear políticas públicas. UOL - Para 2025, as pautas prioritárias já estão estabelecidas? Eduardo Bastos - No início de fevereiro, temos uma reunião em que a proposta é ouvir do Ministério da Agricultura quais são as inquietudes nessa agenda, estabelecer quem vai fazer o inventário nacional de efeito estufa, entender as demandas do setor e do ministério. As datas de reuniões para 2025 já estão fechadas, mas as pautas ainda não. Com certeza o tema principal é a COP30."
Safatle: Caso do Pix mostra que governo não sabe mais fazer luta política,https://noticias.uol.com.br/politica/ultimas-noticias/2025/01/17/governo-lula-pix-video-extrema-direita.htm,"Ogoverno Lula(PT) não sabe mais fazer luta política, ficou assustado com a mobilização da extrema direita e conseguiu duas derrotas ao mesmo tempo,ao revogar medida que aumentava a fiscalização da Receita Federal, opinou o professorVladimir SafatlenoUOLNews, doCanal UOL, nesta sexta-feira (17). [O caso do Pix] demonstra uma desorientação política do governo, porque numa situação como essa, o governo colocou uma medida necessária (ele precisa ter informações sobre movimentações financeiras para saber quem está sonegando). Então, o governo tinha razão na medida. Só que ele não sabe mais fazer luta política, em hipótese alguma.Professor Vladimir Safatle O professor refere-se ao vídeo publicado pelo deputado federal Nikolas Ferreira (PL), aliado político do ex-presidenteJair Bolsonaro(PL). Na gravação, ele contestava a medida que ampliava a fiscalização edizia que o governo iria tratar o pequeno comerciante como grande sonegador. A publicação ultrapassou a marca dos 216 milhões de visualizações nas redes sociais. Após arepercussão negativa e onda de fake newssobre o tema, o governo decidiurevogar o ato normativo que alterava as regras de fiscalização da Receita Federalsobre transações financeiras para pessoas físicas viaPixacima de R$ 5.000 por mês. AoCanal UOL, Safatle afirmou que o governo não consegue mais ter a mobilização de antes e está completamente refém da boa vontade das redes sociais. O governo ficou assustado com o tipo de mobilização que a extrema direita é capaz de fazer e recuou. Ou seja, perdeu em dois frontes: perdeu na medida que precisa fazer e ainda por cima teve uma derrota política. É como se estivesse jogando sozinho e tivesse feito um gol contra, no limite do inacreditável. Então, ele [o governo] tem que saber conseguir articular outros campos que não só esse [o da política]. Ele podia ter usado articulação com sindicatos, falar com os próprios trabalhadores de outras formas, mobilizar, mostrar quais são os sistemas de interesse por trás dessas lutas, mas ele não tem mais essas bases políticas. Por isso que ele fica completamente refém do bem-querer das redes sociais, que é completamente volátil. Um dia você fala uma coisa, você tem 10 milhões de likes, outro dia você fala uma coisa completamente diferente.Professor VladimirSafatle OUOL Newsvai ao ar de segunda a sexta-feira em duas edições: às 10h, com apresentação de Fabíola Cidral, e às 17h, com Diego Sarza. Aos sábados, o programa é exibido às 11h e 17h, e aos domingos, às 17h. Onde assistir:Ao vivo nahome UOL,UOL no YouTubeeFacebook do UOL. O Canal UOL também está disponível na Claro (canal nº 549), Vivo TV (canal nº 613), Sky (canal nº 88), Oi TV (canal nº 140), TVRO Embratel (canal nº 546), Zapping (canal nº 64),SamsungTV Plus (canal nº 2074) e noUOL Play."
Silvio Santos deixou fortuna nas Bahamas: o que é paraíso fiscal?,https://economia.uol.com.br/noticias/redacao/2025/01/17/silvio-deixou-fortuna-nas-bahamas-o-que-e-paraiso-fiscal.htm,"Morto em agosto do ano passado, Silvio Santos manteveR$ 428,9 milhões nas Bahamas, país do Caribe conhecido como um paraíso fiscal. A família afirma que tudo foi declarado à Receita Federal. São países ou territórios com baixa (inferior a 20%) ou nenhuma tributação sobre a renda para pessoas ou empresas estrangeiras.Eles também compartilham o mínimo possível de informações com os países de origens, onde os impostos são geralmente muito maiores. A lista inclui diversos países ou territórios.Entre eles estãoBermudas, Ilhas Virgens Britânicas, Ilhas Cayman e Bahamas, onde está a fortuna do apresentador. Prática de manter dinheiro em paraíso fiscal não é ilegal.É comum manter qualquer movimentação financeira fora do país, desde que ela seja detalhada à Receita Federal na declaração deImposto de Renda. Também é preciso realizar uma declaração de Capitais Brasileiros no Exterior (DCBE) anualmente ao Banco Central —o acompanhamento precisa ser realizado a cada três meses caso valores ultrapassem os R$ 100 milhões, como é o caso do patrimônio de Silvio nas Bahamas. Bens de Silvio no exterior foram devidamente declarados e detalhados ao Banco Central nos prazos exigidos, afirmou a defesa da família.Caso sejam comprovadas irregularidades, a Receita Federal pode estipular uma multa de 75% sobre os tributos relacionados aos ativos. Em caso de intenção de omissão, a porcentagem pode ser ainda maior. A família Abravanel afirma que, mesmo discordando judicialmente dos valores cobrados em impostos sobre a herança,cumpriu com ospagamentos.Eles informaram ter realizado o depósito de R$ 17 milhões do ITCMD (Imposto de Transmissão Causa Mortis e Doação) para evitar eventuais sanções com o fisco estadual. Segundo ação na Justiça obtida por Splash e analisada por especialistas, a família pediu para não pagar o imposto referente ao recebimento daherançadeixada por Silvio Santos no exterior. Processo discute a obrigatoriedade ou não do recolhimento do ITCMD.Não há legislação estadual editada em São Paulo que autorize a cobrança do ITCMD no caso de bens mantidos no exterior e, por isso, a defesa argumenta que a cobrança deste imposto é indevida. Procuradoria-Geral do Estado de São Paulo afirmou causar""profunda estranheza""o fato de Silvio manter grande parte de seu patrimônio fora do Brasil.Procurador argumentou que o assunto pode interessar à Receita Federal. As herdeiras rebateram a declaração.""Convém esclarecer que todo o patrimônio deixado pelo apresentador está, devida e minuciosamente, declarado em seu Imposto de Renda"", afirmaram em nota oficial enviada a Splash com exclusividade, assinada por Daniela Beyruti, atual presidente do SBT e filha do comunicador."
"Com incentivo fiscal, Braskem anuncia R$ 614 milhões para ampliar produção",https://economia.uol.com.br/colunas/graciliano-rocha/2025/01/17/com-incentivo-fiscal-braskem-anuncia-r-614-milhoes-para-ampliar-producao.htm,"A Braskem anunciou nesta sexta-feira (17) a execução de sete novos projetos que somam R$ 614 milhões em investimentos. Segundo a empresa, serão gerados 2.200 novos empregos temporários na ampliação das unidades da empresa na Bahia, Rio Grande do Sul e Alagoas. O foco será no aumento em 139 mil toneladas na capacidade na produção de polietileno, PVC e outros produtos químicos por ano. A iniciativa conta com um incentivo fiscal criado por lei durante o governoJair Bolsonaro(Lei nº 14.374/2022) e regulamentado na gestão Lula (decreto nº 11.668, em 2023), que estabelece o Regime Especial da Indústria Química (REIQ Investimentos). O programa oferece crédito presumido de 1,5% de PIS/Cofins para projetos de ampliação da capacidade produtiva do setor, conforme estabelecido pela e regulamentado pelo Decreto. Normalmente, essas alíquotas poderiam chegar a 7%. Esse tipo de benefício fiscal concedido pelo governo permite às empresas calcular um valor específico de crédito tributário, mesmo que ele não tenha origem em uma operação efetivamente realizada (como a compra de insumos tributados) e pode ser usado para abater o valor devido dessas contribuições sociais na apuração mensal. A contrapartida dos beneficiados é o investimento novo e geração de empregos, que devem ser fiscalizados pela Receita Federal e ministérios do Trabalho e Meio Ambiente. O setor defende o regime especial como meio de fazer frente a subsídios oferecidos por outros países que competem com o Brasil no cenário global. ""Vivemos um grande processo de desglobalização, em que as grandes potências econômicas estão fortalecendo suas indústrias com programas robustos de apoio à produção e à inovação"", escreveu André Passos Cordeiro, em uma análise de perspectivas do setor em 2025, para a Abiquim (Associação Brasileira da Indústria Química). ""Os EUA, a União Europeia, o Canadá e o Japão são alguns exemplos da força de competição que estamos enfrentando"", listou."
Concurso dos Correios: veja como acessar resultado preliminar para carteiro,https://economia.uol.com.br/empregos-e-carreiras/noticias/redacao/2025/01/17/concurso-dos-correios-veja-como-acessar-resultado-preliminar-para-carteiro.htm,"Os resultados das provas objetivas para o cargo de carteiro no concurso dos Correios foram divulgados nesta sexta-feira (17). O candidato pode obter as informações no site doInstituto Brasileiro de Formação e Capacitação (IBFC).A banca disponibilizou dois links para os concorrentes às vagas — resultado preliminar da prova objetiva e resultado dos recursos contra o gabarito preliminar. Para ter acesso ao resultado, o participante deve acessar a área do candidato e informar CPF e senha cadastrada.Em relação ao cargo de carteiro, não houve recursos procedentes às questões da prova objetiva e gabarito preliminar. Assim, o gabarito é definitivo. São 3.099 vagas destinadas ao cargo de agente de Correios (carteiro), voltadas para candidatos com ensino médio completo.A remuneração inicial é de R$ 2.429,26, com uma carga horária de 44 horas semanais. As provas foram aplicadas no dia 15 de dezembro. Resultado para o nível superior será divulgado em 24 de janeiro.Na mesma data, para o cargo de analista de Correios, será divulgado o gabarito definitivo. 412 vagas são para cargos de nível superior, que incluem advogados, analistas de sistemas, arquivistas, assistentes sociais e engenheiros.A remuneração inicial para esses cargos é de R$ 6.872,48, também com 44 horas semanais. Parte das vagas é voltada para ações afirmativas.30% estão reservadas para pessoas negras e indígenas e 10% para pessoas com deficiência. Além do salário, os candidatos têm direito a benefícios.Um deles é o de vale-alimentação/refeição, de R$ 1.400,00, além de possibilidade de adesão aplano de saúdee previdência complementar."
Reforma tributária: quando começa a valer? Entenda como será transição,https://economia.uol.com.br/noticias/redacao/2025/01/17/reforma-tributaria---tramitacao.htm,"Sancionada pelo presidenteLuiz Inácio Lula da Silva, a reforma tributária começa a ser implementada em janeiro de 2026, de maneira progressiva. A estimativa é de que todas as alterações propostas passem a valer em 2033. Texto sancionado por Lula quer simplificar o modelo tributário.Conforme as alterações, PIS, Cofins, ICMS, IPI e ISS deixarão de existir. Os tributos darão espaço ao IBS (Imposto sobre Bens e Serviços) e a CBS (Contribuição sobre Bens e Serviços). Também haverá o IS (Imposto Seletivo), a ser incidido sobre itens prejudiciais à saúde. Implementação das regras acontecerá de maneira progressiva.A reforma do sistema tributário nacional começa a ser implementada em 2026. O início da transição terá alíquotas de teste para as cobranças da CBS e do IBS. Empresas precisam se preparar para as mudanças impostas.Durante o período de adaptação, as notas fiscais emitidas devem destacar os valores correspondentes a 0,9% de CBS sobre o produto vendido e 0,1% de IBS. Novas alíquotas passam a subir gradualmente a partir de 2027.Com o fim do período de testes, os tributos hoje presentes na rotina dos brasileiros passam a ser extintos e dão lugar às novas modalidades instituídas pela reforma tributária. Ano de 2027 marca ainda o início da cobrança do Imposto Seletivo.Popularmente apelidado de ""Imposto do Pecado"", o tributo vai incidir sobre os valores de bens vistos como prejudiciais à saúde e ao meio ambiente, a exemplo de bebidas alcoólicas, refrigerantes, cigarro e veículos diversos. Alíquotas do IS ainda dependem da aprovação de lei ordinária.A implementação deve trazer cobranças distintas, variando conforme os produtos listados como prejudiciais. Os critérios consideram o efeito ao meio ambiente e o nível de dano à saúde. Estima-se, inclusive, que as alíquotas evoluam conforme o teor alcoólico das bebidas. Processo de implementação total da reforma é previsto para 2033.Com a substituição gradual das alíquotas do ICMS e do ISS a partir de 2029, o ano de 2033 marca a substituição efetiva da CBS e do IBS no lugar das cobranças de caráter estadual e municipal. Governo prevê avanços de ""médio prazo"" com regulamentação.Segundo o ministro da Fazenda, Fernando Haddad, a reforma vai resultar uma ""revolução"" do sistema tributário brasileiro. ""Em 2027, o Brasil começa a mudar e eu diria que muitas empresas que duvidavam da possibilidade dessa reforma já começam a olhar para o Brasil com mais seriedade"", disse ele. Reforma também prevê o fim da cumulatividade tributária.A alteração impede a cobrança em cascata do bem ou serviço em diferentes etapas da cadeia produtiva, tanto sobre os insumos, quanto em relação aos produtos finais."
Correios divulgam resultados de concurso para carteiro; veja como acessar,https://economia.uol.com.br/noticias/redacao/2025/01/17/correios-divulgam-resultados-de-concurso-para-carteiro-veja-como-acessar.htm,"Os resultados doconcurso públicopara o cargo de carteiro, nos Correios, foram divulgados nesta sexta-feira (17). Os resultados estão disponíveis no site dos Correios e doInstituto Brasileiro de Formação e Capacitação (IBFC). Não houve recursos referentes às questões objetivas da prova. Para consultar o resultado, o inscrito deverá inserir o seu CPF e a senha cadastrada. Também foi divulgado o resultado do procedimento de heteroidentificação (para pretos e indígenas). Além disso, a avaliação para pessoas com deficiência, que concorrem no cargo de carteiro, também estão disponíveis. No dia 24 de janeiro, os resultados de Analista de Correios terão o resultado preliminar divulgado. No mesmo dia, sai o gabarito definitivo. O concurso teve mais de 1 milhão de pessoas inscritas, com taxa de comparecimento de 59,85%."
"Quem são os nanoempreendedores, categoria criada pela reforma tributária?",https://economia.uol.com.br/noticias/redacao/2025/01/17/quem-sao-os-nanoempreendedores-categoria-criada-pela-reforma-tributaria.htm,"A regulamentação da reforma tributária foi sancionada pelo presidenteLuiz Inácio Lula da Silvanesta quinta-feira (16). Nela foi criada uma nova categoria isenta de imposto: os nanoempreendedores. Pessoas físicas que operam em pequena escala e possuem uma receita bruta anual inferior a R$ 40,5 mil. O valor é metade do limite dos MEIs (Microempreendedores Individuais). A categoria deve englobar profissionais como ambulantes, artesão, mototaxistas, entre outros. Esse grupo não precisará pagar o IVA (Imposto sobre Valor Agregado), criado para substituir ICMS, ISS, PIS, Cofins e IPI. O tributo representará a unificação entre o IBS e a CBS, a ser aplicado sobre as operações de bens e serviços. Os nanoempreendedores ainda poderão ter de pagar contribuições previdenciárias e imposto sobre propriedade."
Reforma tributária: Lula veta isenção para fundos de investimento,https://economia.uol.com.br/mais/suno/2025/01/17/reforma-tributaria-lula-veta-isencao-para-fundos-de-investimento.htm,"Nesta quinta-feira (16), o presidente Luiz Inácio Lula da Silva sancionou o primeiro projeto de regulamentação dareforma tributária, mas vetou o trecho que previa a isenção de novos tributos para fundos de investimento e patrimoniais.A medida, portanto, exclui os osFundos de InvestimentoImobiliário (FIIs) e os Fundos de Investimento nas Cadeias Produtivas do Agronegócio (Fiagro) das exceções à Contribuição sobre Bens e Serviços (CBS) e ao Imposto sobre Bens e Serviços (IBS). De acordo com o secretário extraordinário para a reforma tributária,Bernard Appy, o veto foi fundamentado em questões jurídicas e técnicas, uma vez que, segundo ele, não haveria amparo constitucional para conceder a isenção: ""Os fundos estavam definidos como não contribuintes, mas essa caracterização seria equivalente a um benefício fiscal não previsto na Emenda Constitucional 132, tornando a isenção inconstitucional"", explicouAppydurante uma coletiva de imprensa. De acordo com a análise jurídica, incluir os fundos como beneficiários doIBSeCBSseria inconstitucional, uma vez que a emenda constitucional não prevê isenções específicas para essas entidades."
Dólar volta a cair em última sessão antes da volta de Trump à Casa Branca,https://economia.uol.com.br/noticias/redacao/2025/01/17/dolar---bolsa.htm,"O dólar interrompeu retomou a queda dos primeiros momentos da sessão no início da tarde desta sexta-feira (17), último dia com o mercado financeiro aberto antes da posse de Donald Trump, presidente eleito dos Estados Unidos. Às 14h15, a moeda norte-americana recuava 0,17% e era vendida por R$ 6,043. Dólar comercialopera em queda nesta sexta-feira.A cotação reverter parte da alta registrada ontem (16), único pregão da semana com valorização da moeda norte-americana ante o real. Na mínima do dia, a divisa marcou R$ 6,029. Cotação do dólar para turistas segue estável.Para os viajantes, odólar turismoapresenta queda de 0,01% às 14h18 e é comercializado por R$ 6,283. Sessão é a última antes da posse deDonald Trump.Na próxima segunda-feira (20), o republicano reassume o comando da Casa Branca. O mercado aguarda com apreensão pelo novo mandato de Trump, que promete ampliar as tarifas de importação contra alguns países. O potencial inflacionário do aumento dos custos de importação nos Estados Unidos pode dificultar o movimento de cortes de juros pelo Fed, e juros mais altos tendem a fortalecer o dólar pela diminuição do diferencial de juros em relação a outras economias.Paula Zogbi, gerente de Research da Nomad Na véspera, dólar interrompeu trajetória de quedas.Após três pregões consecutivos de desvalorização, a moeda norte-americana fechou a quinta-feira (16) em alta de 0,48% ante o real, a R$ 6,053. A variação aconteceu em dia de elevada instabilidade, com o dólar cotado abaixo de R$ 6 no início do pregão. Ibovespa apresenta alta nesta sexta-feira (27).O principal índice do mercado acionário brasileiro tem variação positiva após fechar a véspera em queda de 1,15%. Às 11h28, o índice subia 0,25%, aos 121.534,21 pontos. O volume financeiro do pregão superava R$ 2,4 bilhões. Braskem (BRKM5) e Minerva Foods (BEEF3)lideram ganhos. As ações da petroquímica e da fabricante de alimentos avançam, respectivamente, 3,25% e 3,1%. Na sequência, aparecem a Qualicorp (QUAL3), a Cogna (COGN3) e a IRB (IRBR3), todas com altas acima de 2%."
